,country,country_name,2017_ElectHouse,2018_ElectHouse,2019_ElectHouse,2020_ElectHouse,2021_ElectHouse,2017_ElectNoHouse,2018_ElectNoHouse,2019_ElectNoHouse,2020_ElectNoHouse,2021_ElectNoHouse,2017_GasHouse,2018_GasHouse,2019_GasHouse,2020_GasHouse,2021_GasHouse,2017_GasNoHouse,2018_GasNoHouse,2019_GasNoHouse,2020_GasNoHouse,2021_GasNoHouse
0,AT,Austria,0.0598,0.061,0.0654,0.0702,0.0723,0.0598,0.061,0.0654,0.0702,0.0723,0.0299,0.0304,0.0312,0.0308,0.0316,0.022,0.024,0.0184,0.0168,0.0297
1,BA,Bosnia and Herzegovina,0.0649,0.0621,0.0624,0.0648,0.0793,0.0649,0.0621,0.0624,0.0648,0.0793,0.024,0.024,0.0249,0.0258,0.0251,0.022,0.024,0.0257,0.0259,0.0248
2,BE,Belgium,0.0672,0.0624,0.0663,0.0745,0.089,0.0672,0.0624,0.0663,0.0745,0.089,0.0283,0.0288,0.0289,0.0252,0.0315,0.022,0.024,0.0189,0.0148,0.0318
3,BG,Bulgaria,0.0817,0.081,0.0764,0.073,0.1075,0.0817,0.081,0.0764,0.073,0.1075,0.017,0.0209,0.024,0.0177,0.0331,0.022,0.024,0.0213,0.0142,0.0299
4,CZ,Czechia,0.058,0.0602,0.0721,0.0811,0.0848,0.058,0.0602,0.0721,0.0811,0.0848,0.036,0.039,0.0455,0.0431,0.0448,0.022,0.024,0.0226,0.0192,0.0259
5,DE,Germany (until 1990 former territory of the FRG),0.0468,0.0612,0.0525,0.0651,0.0707,0.0468,0.0612,0.0525,0.0651,0.0707,0.0243,0.0254,0.0278,0.0292,0.0293,0.022,0.024,0.0196,0.0171,0.0262
6,DK,Denmark,0.0433,0.0514,0.0517,0.0426,0.0898,0.0433,0.0514,0.0517,0.0426,0.0898,0.0234,0.0259,0.0209,0.016,0.0415,0.0194,0.0234,0.0178,0.0137,0.0448
7,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",0.0757,0.0837,0.0794,0.078,0.0893,0.0757,0.0837,0.0794,0.078,0.0893,0.0295,0.0303,0.0319,0.0302,0.0315,0.022,0.024,0.0211,0.0175,0.0278
8,EE,Estonia,0.0406,0.0489,0.0516,0.044,0.085,0.0406,0.0489,0.0516,0.044,0.085,0.0234,0.0239,0.0253,0.024,0.0361,0.022,0.024,0.0213,0.0155,0.0352
9,EL,Greece,0.081,0.0876,0.0912,0.0933,0.1444,0.081,0.0876,0.0912,0.0933,0.1444,0.0243,0.0311,0.0338,0.0258,0.0444,0.022,0.024,0.026,0.0165,0.0337
10,ES,Spain,0.1541,0.1877,0.1242,0.0854,0.0901,0.1541,0.1877,0.1242,0.0854,0.0901,0.0243,0.0254,0.0318,0.0277,0.0313,0.022,0.024,0.0226,0.0157,0.0234
11,EU27_2020,European Union - 27 countries (from 2020),0.0711,0.0781,0.0754,0.0746,0.0863,0.0711,0.0781,0.0754,0.0746,0.0863,0.0275,0.0284,0.031,0.0292,0.0306,0.022,0.024,0.0213,0.0176,0.0281
12,FR,France,0.0641,0.0636,0.0685,0.0757,0.0793,0.0641,0.0636,0.0685,0.0757,0.0793,0.031,0.0317,0.0342,0.031,0.0325,0.022,0.024,0.0223,0.0191,0.0304
13,GE,Georgia,0.05895,0.0364,0.0363,0.0413,0.0634,0.05895,0.0364,0.0363,0.0413,0.0634,0.0243,0.008,0.0075,0.0059,0.0058,0.022,0.024,0.0187,0.015,0.0158
14,HR,Croatia,0.0574,0.0613,0.0756,0.0728,0.0818,0.0574,0.0613,0.0756,0.0728,0.0818,0.0206,0.0212,0.0229,0.0234,0.0221,0.022,0.024,0.0241,0.0222,0.0304
15,HU,Hungary,0.0536,0.0573,0.0695,0.068,0.0762,0.0536,0.0573,0.0695,0.068,0.0762,0.019,0.0183,0.0184,0.0156,0.0164,0.022,0.024,0.0199,0.0158,0.0319
16,IE,Ireland,0.0959,0.1091,0.1236,0.1189,0.1571,0.0959,0.1091,0.1236,0.1189,0.1571,0.0302,0.0304,0.0351,0.0325,0.0328,0.022,0.024,0.0191,0.0142,0.025
17,IT,Italy,0.0949,0.1022,0.1112,0.1067,0.1353,0.0949,0.1022,0.1112,0.1067,0.1353,0.0243,0.0254,0.0366,0.0327,0.0354,0.022,0.024,0.0237,0.0193,0.0287
18,LT,Lithuania,0.0461,0.0488,0.0542,0.0473,0.0809,0.0461,0.0488,0.0542,0.0473,0.0809,0.0174,0.0216,0.0238,0.0183,0.0182,0.022,0.024,0.0177,0.0127,0.0387
19,LU,Luxembourg,0.0581,0.058,0.0615,0.0607,0.072,0.0581,0.058,0.0615,0.0607,0.072,0.0216,0.0245,0.0258,0.0212,0.0291,0.0205,0.0236,0.0198,0.016,0.0341
20,LV,Latvia,0.0515,0.054,0.0597,0.0567,0.0787,0.0515,0.054,0.0597,0.0567,0.0787,0.0207,0.023,0.0227,0.0133,0.0184,0.022,0.024,0.022,0.0158,0.0248
21,MD,Moldova,0.0675,0.0646,0.0609,0.0637,0.0542,0.0675,0.0646,0.0609,0.0637,0.0542,0.0234,0.0186,0.021,0.0194,0.0232,0.022,0.024,0.0189,0.0175,0.0199
22,MK,North Macedonia,0.0517,0.0505,0.0515,0.054,0.0996,0.0517,0.0505,0.0515,0.054,0.0996,0.0371,0.0357,0.0454,0.038,0.0396,0.022,0.024,0.0285,0.024,0.024
23,NL,Netherlands,0.05895,0.0602,0.0636,0.067,0.0793,0.05895,0.0602,0.0636,0.067,0.0793,0.0293,0.0305,0.0339,0.0316,0.03,0.022,0.024,0.0195,0.0166,0.0287
24,PL,Poland,0.0629,0.0609,0.0602,0.067,0.0651,0.0629,0.0609,0.0602,0.067,0.0651,0.0237,0.0246,0.0274,0.0243,0.0236,0.022,0.024,0.025,0.0201,0.0303
25,PT,Portugal,0.0599,0.0593,0.0674,0.0806,0.0744,0.0599,0.0593,0.0674,0.0806,0.0744,0.0333,0.0326,0.0347,0.0357,0.0341,0.022,0.024,0.0239,0.0193,0.0247
26,RO,Romania,0.0468,0.0539,0.0636,0.0711,0.0801,0.0468,0.0539,0.0636,0.0711,0.0801,0.0168,0.0197,0.0204,0.0192,0.0237,0.022,0.024,0.0218,0.0185,0.0265
27,RS,Serbia,0.0364,0.0389,0.0395,0.0393,0.0379,0.0364,0.0389,0.0395,0.0393,0.0379,0.0264,0.0266,0.0267,0.0265,0.0263,0.022,0.024,0.0311,0.0221,0.0234
28,SE,Sweden,0.0348,0.0434,0.0462,0.0373,0.0692,0.0348,0.0434,0.0462,0.0373,0.0692,0.0314,0.0405,0.0405,0.045,0.0817,0.022,0.024,0.0185,0.018,0.0428
29,SI,Slovenia,0.044,0.051,0.0577,0.0639,0.0641,0.044,0.051,0.0577,0.0639,0.0641,0.0243,0.0255,0.0267,0.0254,0.0264,0.022,0.024,0.0222,0.0193,0.0264
30,SK,Slovakia,0.0464,0.0526,0.0633,0.0721,0.0725,0.0464,0.0526,0.0633,0.0721,0.0725,0.0213,0.0218,0.0234,0.024,0.0195,0.022,0.024,0.0229,0.0207,0.0249
31,TR,Turkey,0.0533,0.0446,0.066,0.0516,0.0518,0.0533,0.0446,0.066,0.0516,0.0518,0.0159,0.0118,0.0142,0.0126,0.011,0.022,0.024,0.0196,0.0147,0.0175
32,UA,Ukraine,0.05895,0.0602,0.0636,0.0599,0.0793,0.05895,0.0602,0.0636,0.0599,0.0793,0.0243,0.0,0.0,0.0183,0.0306,0.022,0.024,0.0,0.0142,0.0281
33,UK,United Kingdom,0.0871,0.1015,0.0912,0.067,0.0793,0.0871,0.1015,0.0912,0.067,0.0793,0.0308,0.0329,0.0346,0.02555,0.0306,0.022,0.024,0.02,0.01695,0.0281
